raw_text,file_id,audio_id,video_id
,CQADAgADjw8AAqRaiUi4nb02jDltoQI,5226808502961311631,
"Весенняя антинаучная конференция 2021 
#",BAADAgADjg8AAqRaiUhdW0MjEOsuZAI,,5226808502961311630
Весенняя антинаучная конференция 2021,,,
,CQADAgADvg4AAo1ycUgFA1SQ8kTiGAI,5220079393015074494,
"Джедайская техника 2.0 (философия продуктивности и ни слова про тайм-менеджмент) 
#Максим_Дорофеев",BAADAgADvQ4AAo1ycUjBR8N_uQRsDwI,,5220079393015074493
Джедайская техника 2.0 (философия продуктивности и ни слова про тайм-менеджмент),,,
,CQADAgADfQ4AAo1ycUjHZPxwAAG8jV0C,5220079393015074429,
"Стрим про выгорание с Аней Обуховой 
#Максим_Дорофеев",BAADAgADfA4AAo1ycUgnIAQvMP5KfgI,,5220079393015074428
Стрим про выгорание с Аней Обуховой,,,
,CQADAgADQg4AAo1ycUiashxmQl5_dwI,5220079393015074370,
"Гарри Мурадян. Трудоустройство, реализация карьеры. Как найти работу Как составлять резюме 
#Александр_Вотяков",BAADAgADQQ4AAo1ycUjXLbNC3HLwcwI,,5220079393015074369
"Гарри Мурадян. Трудоустройство, реализация карьеры. Как найти работу Как составлять резюме",,,
,CQADAgAD-w0AAo1ycUh7ZsEfFkZ28wI,5220079393015074299,
"Джедайская техника 2.0 (симптомы неэкономного мышления и 3 простых совета) 
#Максим_Дорофеев",BAADAgAD-g0AAo1ycUhi4bemC4owmAI,,5220079393015074298
Джедайская техника 2.0 (симптомы неэкономного мышления и 3 простых совета),,,
,CQADAgADbw0AAo1ycUhwNrB4ajPEzwI,5220079393015074159,
"Выгорание (часть 2) Что делать 
#Максим_Дорофеев",BAADAgADbg0AAo1ycUiI40D_qeIBzAI,,5220079393015074158
Выгорание (часть 2) Что делать,,,
,CQADAgADDQ0AAo1yaUjSBVlgbPSBAgI,5217827593201388813,
"Максим Дорофеев о продуктивности и прокрастинации 
#Максим_Дорофеев",BAADAgADDA0AAo1yaUhQgvJ4kqZ9uAI,,5217827593201388812
Максим Дорофеев о продуктивности и прокрастинации,,,
,CQADAgADzgwAAo1yaUik3G2MIzo3NwI,5217827593201388750,
"#PM Максим Дорофеев. mnogosdelal dot ru. Тупняк как чума 21 века и что с этим делать 
#Максим_Дорофеев",BAADAgADzQwAAo1yaUglz7Sv9pwhEwI,,5217827593201388749
#PM Максим Дорофеев. mnogosdelal dot ru. Тупняк как чума 21 века и что с этим делать,,,
,CQADAgADwgwAAo1yaUjh8y2Ko1B_aQI,5217827593201388738,
"Максим Дорофеев - 18 месяцев свободного плавания (деформация сознания) 
#Максим_Дорофеев",BAADAgADwQwAAo1yaUiU4QT03F9rGQI,,5217827593201388737
Максим Дорофеев - 18 месяцев свободного плавания (деформация сознания),,,
,CQADAgADOwwAAo1yaUh2IXHga9A_uAI,5217827593201388603,
"Максим Дорофеев — Эффективность неэффективности 
#Максим_Дорофеев",BAADAgADOgwAAo1yaUgyosD8pIuKkAI,,5217827593201388602
Максим Дорофеев — Эффективность неэффективности,,,
,CQADAgADHAwAAo1yaUiA5I_PzmNdMQI,5217827593201388572,
"Максим Дорофеев — Воспитай свою обезьяну 
#Максим_Дорофеев",BAADAgADGwwAAo1yaUg9px1QVSLDKgI,,5217827593201388571
Максим Дорофеев — Воспитай свою обезьяну,,,
,CQADAgADHwsAAjB4YUio13zcOgO3ygI,5215581991025511199,
"Принцип экономии мыслетоплива  Максим Дорофеев (mnogosdelal dot ru) 
#Максим_Дорофеев",BAADAgADHgsAAjB4YUgKVMsBN0_MKAI,,5215581991025511198
Принцип экономии мыслетоплива  Максим Дорофеев (mnogosdelal dot ru),,,
,CQADAgADhw8AAjB4WUhQCwmyHLuZigI,5213330191211827079,
"Что я хотел бы знать об IT в 20 лет. Максим Дорофеев 
#Максим_Дорофеев",BAADAgADhg8AAjB4WUjICqVMWDoBLgI,,5213330191211827078
Что я хотел бы знать об IT в 20 лет. Максим Дорофеев,,,
,CQADAgADgg8AAjB4WUgqVkarvgSUmAI,5213330191211827074,
"Профилактика профессионального выгорания, или проклятие трех тараканов. Максим Дорофеев 
#Максим_Дорофеев",BAADAgADgQ8AAjB4WUix7PZmthnH-wI,,5213330191211827073
"Профилактика профессионального выгорания, или проклятие трех тараканов. Максим Дорофеев",,,
,CQADAgADew8AAjB4WUhiJXUckdSi3AI,5213330191211827067,
Как стать лучшим ещё в Универе Бизнес-разбор  Оскар Хартманн,BAADAgADeg8AAjB4WUiWXRMNdT-XWAI,,5213330191211827066
Как стать лучшим ещё в Универе Бизнес-разбор  Оскар Хартманн,,,
,CQADAgADcw8AAjB4WUjghHxv5eT64gI,5213330191211827059,
"Максим Дорофеев — Сила первого шага или сессия групповой депрокрастинации 
#Максим_Дорофеев",BAADAgADcg8AAjB4WUh3MGJc4XL2TwI,,5213330191211827058
Максим Дорофеев — Сила первого шага или сессия групповой депрокрастинации,,,
"#Максим_Дорофеев - прокрастинатолог, специалист по продуктивности, тренер, проработал в области разработки ПО почти 15 лет. С 2013 ведет тренинги по продуктивности. Окончил физический факультет МГУ.",,,
,CQADAgADbg8AAjB4WUij6RgE8uFpbgI,5213330191211827054,
"Максим Дорофеев — Студенческий синдром почему мы все делаем в последний момент 
#Максим_Дорофеев",BAADAgADbQ8AAjB4WUhJnTb4Bn_gvgI,,5213330191211827053
Максим Дорофеев — Студенческий синдром почему мы все делаем в последний момент,,,
,CQADAgADuAwAAjB4WUia61LPJHSlOAI,5213330191211826360,
🧑 💻 КТО И КАК ЛОВИТ ХАКЕРОВ  GROUP-IB И ПИРАМИДА КОМПЬЮТЕРНЫХ ПРЕСТУПЛЕНИЙ,BAADAgADtwwAAjB4WUhhYxj25ZLxZAI,,5213330191211826359
🧑 💻 КТО И КАК ЛОВИТ ХАКЕРОВ  GROUP-IB И ПИРАМИДА КОМПЬЮТЕРНЫХ ПРЕСТУПЛЕНИЙ,,,
,CQADAgADSw4AAlzASUiohfyhKQABh1kC,5208905945400217163,
Какие школы и вузы лучше Стрим Сергея Гуриева об образовании,BAADAgADSg4AAlzASUhZ6beqTr8qqgI,,5208905945400217162
Какие школы и вузы лучше Стрим Сергея Гуриева об образовании,,,
,CQADAgADIw4AAlzASUhgxoJEIGo6LwI,5208905945400217123,
